Designator,Mid X,Mid Y,Rotation,Layer
38P-LEFT,27.94,66.04,270.0,top
38P-RIGHTA,53.34,66.04,270.0,top
38P-RIGHTB,50.8,66.04,270.0,top
C1,8.3312,54.9656,0.0,top
C2,7.7216,67.1712,270.0,top
C3,4.9276,62.941,180.0,top
C4,5.08,68.5798,0.0,top
C6-1P-LEFT,17.78,71.1198,270.0,top
C6-1P-RIGHT,43.18,71.1198,270.0,top
DC1,13.25995,38.78995,0.0,top
EN,20.32,93.9797,0.0,top
GND,25.4,33.02,0.0,top
GP0,55.88,33.02,0.0,top
GP1,25.4,93.9797,0.0,top
GP10,55.88,93.9798,0.0,top
GP11,33.02,33.02,0.0,top
GP3,30.48,93.9797,0.0,top
GP36,40.64,33.02,0.0,top
GP39,48.26,33.02,0.0,top
GP6,35.56,93.9797,0.0,top
GP7,40.64,93.9797,0.0,top
GP8,45.72,93.9798,0.0,top
GP9,50.8,93.9797,0.0,top
HOLE_GGE5988,63.5,96.5197,0.0,top
HOLE_GGE6018,63.5,33.02,0.0,top
HOLE_GGE6033,12.7,96.5197,0.0,top
HOLE_GGE6048,12.7,33.02,0.0,top
HOLE_GGE95769,38.1,45.72,0.0,top
HUB75-POWER,5.08,81.31915,0.0,top
HUB75_DATA,69.8497,52.0698,90.0,top
PN-5180,71.11965,81.2797,90.0,top
QLEFT,34.29,78.7397,270.0,top
QRIGHT,59.69,78.7397,270.0,top
S,5.08015,66.03975,270.0,top
S3-30P-LEFT,22.86,71.12,270.0,top
S3-30P-RIGHT,48.26,71.12,270.0,top
